target,collocate,exp_local,obs_local,ratio_local,obs_global,p_value
王小波,所修,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,第一次,0.1067337390692401,1,9.36910866910867,21,0.10149219399483289
王小波,听到,0.09148606205934864,1,10.930626780626781,18,0.0876481217248235
王小波,气质,0.025412795016485735,1,39.350256410256414,5,0.025156429423037974
王小波,评审,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,台湾,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,平分,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,值得尊敬,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,耐性,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,终于,0.15247677009891442,1,6.558376068376068,30,0.1417797763474412
王小波,找到,0.16264188810550873,1,6.1484775641025635,32,0.1504849677778638
王小波,声音,0.16772444710880585,1,5.962160062160063,33,0.1548044795344381
王小波,迟疑,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,青年,0.0965686210626458,1,10.355330634278003,19,0.09228629217456286
王小波,缺乏,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,世故,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,矮个儿,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,自此以后,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,十分注意,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,好像,0.7573012914912749,1,1.3204784030287386,149,0.532318308846258
王小波,个体户,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,至此,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,得奖,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,开春,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,心脏病,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,传来,0.04574303102967432,1,21.861253561253562,9,0.04482629894638601
王小波,浪漫,0.1067337390692401,1,9.36910866910867,21,0.10149219399483289
王小波,饭店,0.060990708039565765,1,16.39594017094017,12,0.05931846017520559
王小波,四十一,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,楼层,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,房间,0.07623838504945721,1,13.116752136752137,15,0.0735912971795043
王小波,说起,0.0864035030560515,1,11.573604826546003,17,0.0829863128679379
王小波,转泪,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,个儿,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,说好,0.030495354019782882,1,32.79188034188034,6,0.030111452073126155
王小波,不生,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,孩子,0.3557791302308003,1,2.810732600732601,70,0.3001205801559236
王小波,北大,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,教职,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,离世,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,继续,0.10165118006594294,1,9.837564102564103,20,0.09690094324390786
王小波,观察,0.025412795016485735,1,39.350256410256414,5,0.025156429423037974
王小波,登山家,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,登山,0.02033023601318859,1,49.18782051282051,4,0.020176157284864216
王小波,提起,0.04574303102967432,1,21.861253561253562,9,0.04482629894638601
王小波,宋朝,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,四川,0.04574303102967432,1,21.861253561253562,9,0.04482629894638601
王小波,杆子,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,还会,0.030495354019782882,1,32.79188034188034,6,0.030111452073126155
王小波,文字,0.04574303102967432,1,21.861253561253562,9,0.04482629894638601
王小波,六月,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,当今,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,李敖,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,白话文,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,第一把手,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
